员工满意度,考核评分,项目数量,每月在公司工作时间,司龄,工作事故,是否离职,五年内是否升职,部门,薪水
0.5,0.85,2,143,3,0,0,0,IT,low
0.16,0.65,5,165,3,0,0,0,IT,low
0.18,0.99,4,204,6,0,0,0,IT,low
0.69,0.6,3,139,2,0,0,0,marketing,low
0.57,0.52,4,252,2,0,0,0,marketing,low
0.33,0.72,2,173,2,0,0,0,marketing,low
0.19,0.48,6,178,3,1,0,0,sales,medium
0.5,0.63,3,160,2,0,0,0,sales,medium
0.52,0.88,3,261,4,0,0,0,sales,medium
0.13,0.52,6,188,3,0,0,0,sales,medium
0.18,0.73,4,219,5,0,0,0,sales,medium
0.86,0.64,4,263,3,0,0,0,sales,medium
0.86,0.59,4,165,3,0,0,0,sales,medium
0.16,0.76,6,218,6,0,0,0,sales,medium
0.43,0.46,2,239,3,1,0,0,sales,medium
0.79,0.63,3,212,2,1,0,0,sales,medium
0.51,0.67,4,133,3,0,0,0,sales,medium
0.83,0.55,5,250,3,1,0,0,sales,medium
0.61,0.45,3,114,3,0,0,0,sales,high
0.65,0.57,3,168,2,0,0,0,sales,high
0.95,0.83,4,252,2,0,0,0,sales,high
0.63,0.64,5,189,4,0,0,0,sales,high
0.72,0.6,3,265,2,1,0,0,sales,high
0.8,0.57,3,176,3,0,0,0,sales,high
0.7,0.57,4,150,4,0,0,0,sales,high
0.45,0.79,5,97,6,1,0,0,accounting,high
0.64,0.85,4,265,2,0,0,0,accounting,low
0.94,0.48,4,260,4,0,0,0,accounting,low
0.57,0.76,4,164,2,0,0,0,hr,low
0.35,0.56,4,142,2,0,0,0,hr,low
0.75,0.81,2,247,4,0,0,0,hr,low
0.7,0.92,5,182,3,0,0,0,hr,low
0.7,0.47,2,238,3,0,0,0,technical,low
0.61,0.62,3,191,3,0,0,0,technical,low
0.78,0.87,4,178,3,0,0,0,technical,medium
0.97,0.77,4,208,2,0,0,0,technical,medium
0.51,0.76,3,256,2,0,0,0,technical,medium
0.56,0.71,5,243,3,0,0,0,technical,medium
0.87,0.55,3,233,3,0,0,0,technical,medium
0.64,0.78,5,200,3,0,0,0,technical,medium
0.6,0.85,2,226,2,1,0,0,technical,medium
0.9,0.76,2,150,2,0,0,0,technical,medium
0.54,0.62,2,141,2,0,0,0,technical,medium
0.23,0.8,5,139,3,0,0,0,support,medium
0.8,0.81,3,199,4,1,0,0,support,medium
0.23,0.78,4,154,6,1,0,0,support,medium
0.81,0.51,3,247,2,0,0,0,support,medium
0.35,0.6,5,239,5,0,0,0,support,medium
0.67,0.8,4,137,2,0,0,0,support,medium
0.46,0.6,4,119,5,0,0,0,support,medium
0.84,0.98,4,134,5,1,0,0,support,medium
0.92,0.79,3,243,4,0,0,0,support,medium
0.75,0.93,5,210,3,0,0,0,support,medium
0.7,0.57,4,265,2,0,0,0,support,medium
0.7,0.75,4,204,3,0,0,0,technical,medium
0.9,0.81,6,273,5,0,0,0,technical,medium
0.8,1,3,177,2,0,0,0,technical,medium
0.5,0.65,5,285,6,0,0,0,management,high
0.84,0.72,4,222,2,0,0,0,IT,low
0.48,0.94,3,185,2,1,0,0,IT,medium
0.98,0.87,5,151,6,0,0,0,IT,medium
0.64,0.96,3,109,4,0,0,0,IT,medium
0.58,0.53,4,192,4,0,0,0,IT,medium
0.66,0.89,4,139,3,0,0,0,product_mng,medium
0.76,0.98,4,191,2,0,0,0,product_mng,medium
0.32,0.42,6,114,3,0,0,0,product_mng,medium
0.49,0.87,3,212,2,0,0,0,product_mng,medium
0.81,0.51,3,162,2,0,0,0,IT,medium
0.42,0.48,5,191,5,0,0,0,RandD,medium
0.17,0.85,3,234,3,0,0,0,RandD,low
0.49,0.59,4,265,3,0,0,0,RandD,low
0.34,0.69,6,283,2,0,0,0,RandD,low
0.86,0.81,3,232,4,0,0,0,RandD,low
0.51,0.71,4,208,3,1,0,0,marketing,low
0.49,0.99,4,258,3,1,0,0,sales,low
0.49,0.63,3,175,2,0,0,0,accounting,low
0.51,0.59,3,238,3,0,0,0,support,high
0.64,0.52,3,166,3,0,0,0,technical,low
0.62,0.85,4,225,2,0,0,0,management,high
0.81,0.52,4,221,6,0,0,0,marketing,high
0.95,0.57,2,263,3,0,0,0,marketing,low
0.88,0.66,4,218,4,1,0,0,marketing,low
