店铺id,城市,类型,店名,点评,人均,口味,环境,服务
1,北京,私房菜,梧桐宇私房菜,45,80,7.3,7.3,7.1
2,北京,私房菜,小东北私房菜,1,35,6.9,6.9,6.9
9,北京,北京菜,紫光园(常营店)分店,4420,74,8.9,8.5,8.3
10,北京,北京菜,府膳(回龙观店),894,86,8.6,8.8,8.4
11,北京,北京菜,京门小院儿,46,62,8.3,8.5,8.3
12,北京,北京菜,我家春饼(龙湖大兴天街店),1098,44,8,8.2,7.6
13,北京,台湾菜,小明同学(当代商城店)分店,465,65,8,9,8.9
14,北京,台湾菜,东都台员(亦庄店),1757,61,8.5,8.3,8.4
15,北京,北京菜,红莲烤鸭店(红莲北里店)分店,1320,72,7,6.4,6.2
17,北京,家常菜,常赢三兄弟(陆港城总店)分店,305,110,8.7,8.5,8
18,北京,家常菜,太熟悉家常菜(右安门店)分店,3007,81,7.4,7.6,7
19,北京,家常菜,慈孝宫,349,88,7.2,7.3,6.8
21,北京,川菜,舌尖记忆(王府井银泰in88店),5695,69,8.4,9,8.6
22,北京,川菜,淘虾记(劲松店)分店,1511,104,8,7.7,7.8
23,北京,川菜,Hi辣约麻,19,74,8.3,8.1,8.1
24,北京,湘菜,酷湘—正统湘菜,1265,92,9.1,9.1,9.1
25,北京,湘菜,湘鄂汇(五棵松店),324,96,8.6,8.5,8.2
26,北京,湘菜,望湘楼(川湘野味道),1767,70,7.6,7.2,7.3
27,北京,湘菜,味味湘,11,50,7.4,7.3,7.6
28,北京,湘菜,潇湘味庄(南口店),59,79,7,6.9,6.9
29,北京,小龙虾,串庭(好运街总店)分店,571,116,8.5,8.8,8.7
30,北京,小龙虾,阿骨羊火锅(鼓楼店),145,91,8.7,9,9
31,北京,小龙虾,广喜龙虾,2,50,7.1,7.1,7.1
33,北京,小龙虾,京之鲜私房秘制小龙虾外送(果园...分店,2,52,7,7,7
34,北京,小龙虾,京之鲜私房秘制小龙虾外送(朝阳...分店,1,52,6.9,6.9,6.9
39,北京,江浙菜,弄堂里-上海生煎(尚街甘露园店),287,20,8.4,8,8.3
40,北京,江浙菜,福怡轩美食汇,134,65,7,6.8,6.8
41,北京,江浙菜,弄堂小厨,20,29,6.7,6.7,6.7
49,北京,创意菜,兰溪小馆(东直门簋街店)分店,3906,101,8.5,8.9,8.6
50,北京,创意菜,绿盒子蒸饺(世界城店)分店,884,40,7.6,7.5,7.4
51,北京,创意菜,面包与枪支丨生活餐厅(中关村店)暂停营业,98,64,7.9,8.7,8.5
52,北京,东北菜,嘉宴金手勺酱骨石磨老菜馆(吕家...分店,295,55,7,6.9,6.7
53,北京,东北菜,香久香春饼东北菜(马坡建行店),7,25,7.2,6.8,7.2
54,北京,粤菜,汤城小厨(长楹天街购物中心店)分店,6081,89,8.5,8.8,8.6
55,北京,粤菜,德宏记·港式餐厅,611,78,8,8.8,7.8
56,北京,粤菜,乌镇会精品酒店文昌阁中餐厅,178,129,8.8,9.1,8.9
57,北京,粤菜,臻味潮汕砂锅粥(田村店)分店,145,65,8.2,8.3,7.9
58,北京,粤菜,香港九道港式茶餐厅(中粮万科长...分店,819,67,7.8,8.5,8.2
59,北京,粤菜,棕色茶餐厅,13,68,7.4,7.4,7.5
61,北京,粤菜,福临门,68,177,6.7,6.9,6.7
62,北京,粤菜,粤色天湘烤鸭家常菜,305,125,7.1,7.3,7
63,北京,粉面馆,贝尔特西餐厅Pentalounge,48,84,7.5,7.9,7.6
64,北京,粉面馆,清真西直门老店拉面馆,347,31,8.1,7,7.1
65,北京,粉面馆,味千拉面(机场T3店)分店,22,50,6.7,6.8,6.5
66,北京,粉面馆,晋爱面全国连锁,69,24,7.6,7.1,6.8
67,北京,粉面馆,十七城重庆小面(五道口店),761,25,7.2,7.1,6.8
69,北京,粉面馆,马兰拉面(化工大学分店)分店,646,25,7.3,7.4,7.1
70,北京,徽菜,江君府臭鳜鱼·徽菜(西坝河店)分店,37,89,7.4,8,7.7
75,北京,咖啡厅,1901 Cafe(西四店),1481,69,7.5,8.6,7.8
76,北京,咖啡厅,沏点咖啡,446,56,9,9.1,9.2
77,北京,咖啡厅,上岛咖啡(芳古园店)分店,483,59,8.2,8.2,8.1
78,北京,咖啡厅,星巴克(望京新世界店)分店,263,39,8.1,7.7,7.6
79,北京,咖啡厅,星巴克(丰葆路店)分店,82,41,8,8.1,7.5
80,北京,咖啡厅,YOLO CAKE,255,62,7.7,8,8
81,北京,新疆菜,大漠楼兰新疆美食(牡丹园店)分店,1242,62,9,9.1,9.2
83,北京,新疆菜,西域明远(青年城店),81,46,7.4,7.2,7.3
85,北京,新疆菜,民族餐厅,30,41,7.1,6.9,7
