MEMBER_NO,FFP_DATE,FIRST_FLIGHT_DATE,GENDER,FFP_TIER,WORK_CITY,WORK_PROVINCE,WORK_COUNTRY,AGE,LOAD_TIME,FLIGHT_COUNT,BP_SUM,EP_SUM_YR_1,EP_SUM_YR_2,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,WEIGHTED_SEG_KM,LAST_FLIGHT_DATE,AVG_FLIGHT_COUNT,AVG_BP_SUM,BEGIN_TO_FIRST,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,ADD_POINTS_SUM_YR_1,ADD_POINTS_SUM_YR_2,EXCHANGE_COUNT,avg_discount,P1Y_Flight_Count,L1Y_Flight_Count,P1Y_BP_SUM,L1Y_BP_SUM,EP_SUM,ADD_Point_SUM,Eli_Add_Point_Sum,L1Y_ELi_Add_Points,Points_Sum,L1Y_Points_Sum,Ration_L1Y_Flight_Count,Ration_P1Y_Flight_Count,Ration_P1Y_BPS,Ration_L1Y_BPS,Point_NotFlight
39515,2011/5/20,2011/6/12,男,5,济南市,山东省,CN,55,2014/3/31,21,44486,0,286,30301,12644,33295,46885.22,2014/1/6,2.625,5560.75,8,86,31.85,112,0,0,0,1.408176002,15,6,30780,13706,286,0,286,286,44772,13992,0.285714286,0.714285714,0.691887518,0.308090004,0
62984,2008/10/19,2008/10/19,男,5,大连,辽宁,CN,42,2014/3/31,40,34809,0,1537,5299,22092,74055,46879.84,2014/3/30,5,4351.125,44,2,17.56410256,112,0,2379,1,0.633040848,14,26,15329,19480,1537,2379,3916,3916,38725,23396,0.65,0.35,0.440361965,0.559609308,4
55288,2007/6/15,2008/6/16,女,4,ROWLAND HTS,CA,US,54,2014/3/31,8,42904,0,0,5200,11400,76142,46878.04,2013/10/6,1,5363,75,178,68.28571429,234,0,0,0,0.615665992,4,4,10336,32568,0,0,0,0,42904,32568,0.5,0.5,0.240904324,0.759072369,0
2784,2007/10/14,2007/10/14,男,4,佛山,广东,CN,48,2014/3/31,46,38301,0,0,20421,23650,67765,46867.13,2014/3/22,5.75,4787.625,30,10,15.35555556,62,5000,0,1,0.691612632,21,25,18379,19922,0,5000,5000,0,43301,19922,0.543478261,0.456521739,0.479844395,0.520129497,3
29242,2005/7/9,2005/8/21,男,4,上海,上海,CN,41,2014/3/31,62,46195,0,1708,26064,16600,54384,46855.85,2014/2/22,7.75,5774.375,7,39,11.2295082,55,1909,607,3,0.861574176,36,26,27450,18745,1708,2516,4224,2315,50419,21060,0.419354839,0.580645161,0.594207291,0.405771062,26
2116,2005/3/29,2007/8/17,男,5,广州,广东,CN,43,2014/3/31,49,40521,0,2460,16716,27743,62426,46839.24,2014/3/28,6.125,5065.125,14,4,14.85416667,39,0,0,5,0.750316214,21,28,14747,25774,2460,0,2460,2460,42981,28234,0.571428571,0.428571429,0.363925769,0.636049553,6
55177,2007/3/9,2007/4/21,男,4,广州,广东,CN,70,2014/3/31,56,40327,0,1144,23858,19562,73399,46838.73,2014/3/14,7,5040.875,20,18,12.6,72,0,0,0,0.63813853,29,27,21288,19039,1144,0,1144,1144,41471,20183,0.482142857,0.517857143,0.527871454,0.472103749,0
20284,2005/4/27,2005/8/12,男,4,广州市,广东,CN,40,2014/3/31,45,37911,0,1397,20184,22436,71309,46831.95,2014/3/26,5.625,4738.875,11,6,16.22727273,64,0,0,1,0.656746694,22,23,16708,21203,1397,0,1397,1397,39308,22600,0.511111111,0.488888889,0.44070479,0.559268833,1
38991,2008/11/1,2008/11/1,男,4,广州,广东,CN,35,2014/3/31,44,32512,0,0,31840,9758,74909,46831.88,2013/9/23,5.5,4064,36,191,11.72093023,49,0,0,2,0.625183623,31,13,23930,8582,0,0,0,0,32512,8582,0.295454545,0.704545455,0.736013287,0.263955956,2
17430,2010/7/21,2010/8/2,男,4,乌鲁木齐,新疆,CN,39,2014/3/31,20,39537,0,0,11086,27804,56253,46812.38,2013/12/26,2.5,4942.125,115,97,27.31578947,198,0,4928,4,0.832175706,5,15,10841,28696,0,4928,4928,4928,44465,33624,0.75,0.25,0.274191917,0.725782791,6
