store_id,city,channel,gender_group,age_group,wkd_ind,product,customer,revenue,order,quant,unit_cost,unit_price
21,北京,线下,Male,35-39,Weekday,毛衣,4,946,4,4,99,237
315,武汉,线下,Female,30-34,Weekday,牛仔裤,6,1094,6,6,69,182
375,广州,线上,Male,45-49,Weekend,当季新品,1,79,1,1,59,79
256,武汉,线下,Male,30-34,Weekend,配件,1,199,1,1,29,199
98,成都,线下,Female,50-54,Weekday,配件,1,149,1,1,29,149
325,上海,线下,Male,30-34,Weekend,T恤,4,396,4,4,49,99
312,杭州,线下,Female,20-24,Weekend,袜子,1,27,1,1,9,27
207,上海,线上,Female,30-34,Weekend,毛衣,6,1293,6,7,99,185
248,杭州,线下,Male,>=60,Weekday,袜子,1,79,1,3,9,26
759,重庆,线下,Male,30-34,Weekend,裙子,1,195,1,1,59,195
312,杭州,线下,Male,30-34,Weekend,T恤,3,294,3,3,49,98
649,杭州,线下,Male,<20,Weekend,T恤,1,99,1,1,49,99
616,成都,线下,Male,35-39,Weekend,牛仔裤,1,39,1,1,69,39
182,广州,线上,Male,30-34,Weekday,T恤,1,59,1,1,49,59
68,重庆,线上,Male,25-29,Weekend,短裤,2,66,2,2,19,33
21,北京,线下,Male,25-29,Weekday,T恤,2,158,2,2,49,79
229,深圳,线下,Female,<20,Weekend,T恤,3,646,3,4,49,162
182,广州,线上,Female,25-29,Weekend,T恤,1,158,1,2,49,79
19,南京,线下,Female,>=60,Weekday,T恤,1,95.67,1,1,49,96
758,杭州,线下,Female,30-34,Weekday,T恤,1,149,1,1,49,149
70,深圳,线下,Female,35-39,Weekday,T恤,2,78,2,2,49,39
146,杭州,线下,Male,30-34,Weekend,T恤,3,297,3,3,49,99
245,杭州,线下,Female,20-24,Weekday,T恤,2,158,2,2,49,79
70,深圳,线下,Female,30-34,Weekend,T恤,1,99,1,1,49,99
480,重庆,线下,Female,30-34,Weekend,短裤,3,139,3,4,19,35
255,杭州,线下,Male,35-39,Weekend,袜子,1,49,1,1,9,49
245,杭州,线下,Female,40-44,Weekend,T恤,1,99,1,1,49,99
648,西安,线下,Male,30-34,Weekday,配件,1,198,1,2,29,99
148,深圳,线下,Female,45-49,Weekend,袜子,1,26,1,1,9,26
