员工满意度,考核评分,项目数量,每月在公司工作时间,司龄,工作事故,是否离职,五年内是否升职,部门,薪水
0.5,0.85,2,143,3,0,0,0,IT,low
0.16,0.65,5,165,3,0,0,0,IT,low
0.18,0.99,4,204,6,0,0,0,IT,low
0.86,0.68,4,170,2,0,0,0,IT,low
0.68,0.52,5,203,3,0,0,0,IT,low
0.68,0.85,3,199,3,0,0,0,product_mng,low
0.89,0.78,4,223,3,0,0,0,product_mng,low
0.86,0.88,4,220,2,0,0,0,product_mng,low
0.43,0.41,4,190,3,0,0,0,product_mng,medium
0.85,0.58,4,143,6,1,0,0,IT,medium
0.94,0.8,5,111,4,0,0,1,RandD,medium
0.58,0.71,4,145,3,1,0,1,RandD,medium
0.43,0.6,3,138,3,0,0,1,RandD,medium
0.72,0.49,3,203,3,0,0,1,RandD,medium
0.95,0.96,5,175,3,1,0,1,RandD,medium
0.35,0.67,3,119,3,0,0,1,marketing,medium
0.77,0.79,3,157,3,0,0,1,sales,medium
0.74,0.7,5,135,2,0,0,1,accounting,medium
0.5,0.6,4,200,2,0,0,1,support,medium
0.87,0.56,4,121,2,0,0,1,technical,medium
0.55,0.48,3,162,3,0,0,1,management,high
0.8,0.65,3,135,3,0,0,1,marketing,low
0.49,0.52,4,183,2,0,0,1,marketing,medium
0.54,0.92,4,228,3,0,0,1,marketing,medium
0.21,0.87,4,148,5,0,0,0,sales,medium
0.77,0.77,3,219,2,0,0,0,sales,medium
0.53,0.73,4,147,3,0,0,0,sales,low
0.89,0.49,5,165,6,0,0,0,sales,low
0.25,0.59,4,218,3,1,0,0,sales,low
0.53,0.59,3,231,2,0,0,0,sales,low
0.44,0.45,2,124,3,0,0,0,sales,low
0.7,0.44,2,131,2,0,0,0,sales,low
0.54,0.76,3,199,4,0,0,0,sales,low
0.9,0.56,3,220,3,0,0,0,sales,low
0.69,0.8,5,215,3,0,0,0,sales,low
0.78,0.59,4,180,3,0,0,0,sales,low
0.91,0.49,6,272,6,0,0,0,sales,low
0.92,0.61,2,228,2,0,0,0,sales,low
0.96,0.88,3,168,2,0,0,0,sales,low
0.8,0.77,4,205,2,0,0,0,sales,low
0.52,0.67,3,244,3,0,0,0,sales,low
0.52,0.97,3,185,2,0,0,0,sales,low
0.93,0.96,5,135,3,1,0,0,sales,low
0.89,0.9,4,160,2,0,0,0,accounting,low
0.83,0.61,4,262,4,0,0,0,accounting,low
0.7,0.84,6,225,6,0,0,0,accounting,low
0.89,0.74,4,174,2,0,0,0,hr,low
0.21,0.37,6,266,3,0,0,1,hr,medium
0.67,0.78,4,241,4,0,0,1,hr,medium
0.73,0.97,3,245,2,0,0,1,hr,medium
0.85,0.51,3,261,4,0,0,1,technical,medium
0.54,0.85,4,157,3,0,0,1,technical,medium
0.74,0.94,3,286,6,0,0,1,technical,medium
0.71,0.65,4,263,2,1,0,1,technical,medium
0.76,0.52,2,229,3,0,0,1,technical,medium
0.85,0.5,4,159,2,0,0,1,technical,medium
0.82,0.89,4,196,3,0,0,1,technical,medium
0.71,0.79,4,133,3,0,0,1,technical,medium
0.79,0.65,5,228,3,0,0,1,technical,medium
0.86,0.56,4,247,3,0,0,1,technical,high
0.9,0.78,5,215,3,0,0,1,technical,low
0.65,0.8,6,233,3,1,0,1,support,medium
0.53,0.74,5,237,2,0,0,1,support,medium
0.51,0.91,4,269,5,0,0,1,support,medium
1,0.76,6,246,3,1,0,1,support,medium
0.92,0.82,4,168,3,0,0,1,support,low
1,0.59,3,168,3,0,0,1,support,low
0.23,0.67,4,163,5,0,0,1,support,low
0.52,0.77,3,142,2,0,0,1,support,low
0.8,0.83,4,183,2,1,0,1,support,low
0.59,0.72,4,264,3,0,0,0,support,low
0.75,0.55,2,184,2,0,0,0,support,low
0.99,0.58,4,138,3,0,0,0,technical,low
0.57,0.76,3,195,3,0,0,0,technical,medium
0.87,0.95,4,251,3,0,0,0,technical,medium
0.52,0.47,3,108,5,0,0,0,management,medium
0.57,0.9,3,144,2,0,0,0,IT,medium
0.32,0.77,6,112,4,0,0,0,IT,medium
0.66,0.81,2,201,3,0,0,0,IT,medium
0.53,0.8,4,204,3,0,0,0,IT,medium
0.55,0.62,5,226,3,0,0,0,IT,medium
0.66,0.9,3,217,4,0,0,0,product_mng,medium
0.69,0.92,4,149,2,0,0,0,product_mng,medium
