店铺id,城市,类型,店名,点评,人均,口味,环境,服务
2922,南宁,面包甜点,榴芒来了,2,15,6.9,7.1,6.8
2923,南宁,其他,天鹰蒸汽海鲜城(保利店),7,44,7.4,7.1,7.3
2924,南宁,其他,太平洋咖啡(万象城第一分店)分店,34,37,7.4,7.5,7.4
2925,南宁,其他,鲜蚝汇海鲜烧烤主题餐厅,9,55,7.1,7.1,6.9
2926,南宁,其他,太师烧鸭风味餐厅,17,17,7.2,6.8,7
2927,南宁,其他,土豪火锅铁锅门,10,51,7.8,7.6,7.8
2931,南宁,其他,高文达素食餐厅,4,13,7.3,7.4,7.4
2932,南宁,其他,好月缘海鲜鲍翅楼,14,115,7.2,7.2,7.2
2940,南宁,米粉/米线,三品王(友爱北店)分店,7,13,7.1,7.1,7.1
2942,南宁,米粉/米线,三品王(长岗店)分店,14,8,7.1,7,6.9
2946,南通,私房菜,九憬私房菜,1,25,6.9,6.9,6.9
2950,南通,川菜,烤鱼堂,3,42,6.9,6.9,6.9
2953,南通,川菜,醉爱酸菜鱼(一店),5,35,7,7,7
2954,南通,川菜,临家外卖酸菜鱼,8,25,7.2,7.2,7.2
2955,南通,川菜,辣道坊麻辣锅皇,1,30,6.6,7.1,7.1
2964,南通,海鲜,炜炜小厨(五一路店),95,106,8.4,8.1,8
2965,南通,海鲜,江鲜美食-狼山迎春饭店,42,86,7.6,7.4,7.4
2978,南通,咖啡厅,偶像咖啡(idol coffee),4,36,6.9,7.3,7.3
2986,南通,江浙菜,江南厨房(星湖店),87,56,7.5,7.3,7.4
2988,南通,江浙菜,沈府酒楼,2,30,7.2,7.2,7.2
2990,南通,江浙菜,吕老二酒店,13,75,7.3,7.2,7
2991,南通,火锅,重庆德庄火锅,34,79,8.1,8.1,8.3
2993,南通,火锅,一品皇记煌三汁焖锅,25,65,7.2,7.2,7.2
2994,南通,火锅,川金楼精致干锅火锅万州烤鱼,5,58,7.2,7.2,7.2
2996,南通,小吃面食,友达面馆,13,24,7.3,7.3,7.3
2997,南通,小吃面食,韩国爱_炸鸡,15,25,7.5,7.4,7.5
3000,南通,小吃面食,遵义羊肉粉,7,19,7.1,7.1,7.1
3001,南通,小吃面食,包福记牛肉面馆(轻纺城店)分店,110,16,7.2,7.3,7.3
3003,南通,烧烤,东北烧烤王(川味干锅),24,49,7.1,6.6,6.8
3010,南通,韩国料理,全州拌饭,14,19,7.3,7.3,7.5
3012,南通,日本料理,福泽屋分店,80,121,7.4,7.4,7.4
3013,南通,西餐,暖舍西餐厅,59,194,7.4,7.8,7.5
3014,南通,韩国料理,金家烤肉,33,66,8.7,8.8,8.8
3019,南通,自助餐,小帅锅回转时尚自助火锅,10,37,7.2,7.3,7.6
