MEMBER_NO,FFP_DATE,FIRST_FLIGHT_DATE,GENDER,FFP_TIER,WORK_CITY,WORK_PROVINCE,WORK_COUNTRY,AGE,LOAD_TIME,FLIGHT_COUNT,BP_SUM,EP_SUM_YR_1,EP_SUM_YR_2,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,WEIGHTED_SEG_KM,LAST_FLIGHT_DATE,AVG_FLIGHT_COUNT,AVG_BP_SUM,BEGIN_TO_FIRST,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,ADD_POINTS_SUM_YR_1,ADD_POINTS_SUM_YR_2,EXCHANGE_COUNT,avg_discount,P1Y_Flight_Count,L1Y_Flight_Count,P1Y_BP_SUM,L1Y_BP_SUM,EP_SUM,ADD_Point_SUM,Eli_Add_Point_Sum,L1Y_ELi_Add_Points,Points_Sum,L1Y_Points_Sum,Ration_L1Y_Flight_Count,Ration_P1Y_Flight_Count,Ration_P1Y_BPS,Ration_L1Y_BPS,Point_NotFlight
38904,2007/12/28,2008/6/12,男,6,.,北京,CN,50,2014/3/31,25,41409,0,754,19155,20976,30018,43722.35,2013/10/22,3.125,5176.125,76,162,20.54166667,95,0,0,3,1.456537744,12,13,18829,22580,754,0,754,754,42163,23334,0.52,0.48,0.454696933,0.545278918,3
46151,2007/3/14,2007/6/3,男,5,成都市,四川,CN,61,2014/3/31,47,31648,0,2276,19253,22081,69599,43709.4,2014/3/11,5.875,3956,20,21,15,51,0,0,1,0.628017644,22,25,15780,15868,2276,0,2276,2276,33924,18144,0.531914894,0.468085106,0.498593952,0.501374451,1
45648,2006/3/11,2006/8/14,男,4,北京,北京,CN,38,2014/3/31,15,41962,0,0,28800,8405,29547,43707.6,2014/3/14,1.875,5245.25,11,18,50.14285714,173,0,0,0,1.479256777,11,4,32362,9600,0,0,0,0,41962,9600,0.266666667,0.733333333,0.771203203,0.228772967,1
25226,2012/10/19,2012/10/19,男,4,吉林,吉林,CN,45,2014/3/31,41,40789,0,2503,18667,20991,57378,43690.22,2014/3/10,6.833333333,6798.166667,0,22,12.7,103,0,0,0,0.761445502,21,20,17277,23512,2503,0,2503,2503,43292,26015,0.487804878,0.512195122,0.423559696,0.576415788,1
27014,2007/6/4,2007/7/13,女,4,深圳,广东,CN,51,2014/3/31,18,37080,0,0,15403,15963,53329,43683.99,2014/1/6,2.25,4635,29,86,36.23529412,162,0,0,0,0.819141368,8,10,18737,18343,0,0,0,0,37080,18343,0.555555556,0.444444444,0.50529921,0.494673822,0
16132,2013/2/5,2013/2/5,男,4,北京市,北京,CN,75,2014/3/31,18,43610,0,2119,1440,42306,34851,43678.35,2014/3/25,3.6,8722,0,7,24.35294118,65,0,0,0,1.253288284,1,17,1242,42368,2119,0,2119,2119,45729,44487,0.944444444,0.055555556,0.028479053,0.971498017,0
38266,2005/9/8,2005/10/28,男,5,武汉,湖北,CN,68,2014/3/31,61,37853,0,2739,20937,21064,58616,43676.63,2014/3/23,7.625,4731.625,9,9,11.88333333,55,0,5000,3,0.745131534,31,30,17904,19949,2739,5000,7739,7739,45592,27688,0.491803279,0.508196721,0.472975115,0.526998468,4
2393,2005/11/26,2008/7/14,男,4,郑州,河南,CN,47,2014/3/31,54,40936,0,0,32777,11078,42857,43674.79,2014/3/6,6.75,5117,7,26,13.16981132,142,6828,1657,0,1.01908183,38,16,30099,10837,0,8485,8485,1657,49421,12494,0.296296296,0.703703704,0.735251728,0.264723844,10
26654,2006/5/30,2006/5/30,男,5,长春,吉林,CN,47,2014/3/31,46,41463,0,1488,19404,22340,45258,43674.48,2014/3/7,5.75,5182.875,13,25,15.4,129,1500,0,0,0.965011269,18,28,17707,23756,1488,1500,2988,1488,44451,25244,0.608695652,0.391304348,0.427045148,0.572930735,1
40034,2009/3/12,2009/12/25,男,4,长春,吉林,CN,47,2014/3/31,43,40734,0,1010,17951,21531,47432,43671.02,2013/12/14,5.375,5091.75,2,109,14.76190476,58,0,500,4,0.920707961,25,18,19287,21447,1010,500,1510,1510,42244,22957,0.418604651,0.581395349,0.473474899,0.526500552,5
2003,2004/11/8,2004/11/8,女,5,广州市,广东省,CN,41,2014/3/31,55,39138,0,1946,20219,23562,57718,43669.99,2014/3/2,6.875,4892.25,10,30,12.7962963,93,1500,0,1,0.75660955,26,29,16804,22334,1946,1500,3446,1946,42584,24280,0.527272727,0.472727273,0.429341577,0.570632873,2
62323,2010/12/2,2010/12/15,女,4,乌鲁木齐,新疆,CN,48,2014/3/31,26,33022,0,0,17018,15832,64947,43668.42,2013/12/18,3.25,4127.75,11,105,24.6,143,0,4160,2,0.672370086,15,11,16757,16265,0,4160,4160,4160,37182,20425,0.423076923,0.576923077,0.507434213,0.492535506,5
27035,2007/11/28,2007/11/28,男,5,阿拉尔市,新疆,CN,52,2014/3/31,42,32825,0,0,6640,20903,59364,43660.93,2014/3/18,5.25,4103.125,0,14,17.48780488,73,0,0,2,0.735478236,18,24,8792,24033,0,0,0,0,32825,24033,0.571428571,0.428571429,0.267836471,0.732133065,2
1612,2012/1/6,2012/5/11,男,4,上海,上海,CN,44,2014/3/31,37,34936,0,194,13932,9803,48135,43659.49,2014/3/14,4.625,4367,40,18,18.69444444,77,0,0,0,0.90702171,21,16,21252,13684,194,0,194,194,35130,13878,0.432432432,0.567567568,0.608294931,0.391676446,1
11010,2004/12/16,2005/8/4,男,4,北京,北京,CN,45,2014/3/31,31,42866,0,0,16115,21957,58120,43652.2,2014/3/29,3.875,5358.25,29,3,23.3,77,763,0,3,0.7510702,14,17,17109,25757,0,763,763,0,43629,25757,0.548387097,0.451612903,0.399118203,0.600858469,5
41660,2011/11/15,2011/11/23,男,5,贵阳,贵州,CN,54,2014/3/31,46,39539,0,436,22854,17549,51231,43647.78,2014/3/11,5.75,4942.375,7,21,15.62222222,111,0,2554,4,0.851979856,27,19,21463,18076,436,2554,2990,2990,42529,21066,0.413043478,0.586956522,0.5428174,0.457157309,6
48364,2009/5/31,2009/6/26,男,6,.,北京,CN,48,2014/3/31,41,37033,0,1932,18194,27435,34397,43642.21,2014/3/29,5.125,4629.125,73,3,16.375,102,0,1000,0,1.268779545,20,21,12515,24518,1932,1000,2932,2932,39965,27450,0.512195122,0.487804878,0.33793271,0.662040287,2
6216,2011/11/20,2011/11/20,男,4,深圳,广东,CN,64,2014/3/31,20,43214,0,0,23925,6933,58553,43636.43,2014/3/8,2.5,5401.75,152,24,29.21052632,152,0,0,0,0.7452467,14,6,36880,6334,0,0,0,0,43214,6334,0.3,0.7,0.853407382,0.146569478,0
40281,2009/9/15,2009/9/15,女,5,武汉市,湖北省,CN,40,2014/3/31,28,41967,0,1796,10835,29760,31760,43630.01,2014/1/21,3.5,5245.875,1,71,24.40740741,100,0,0,0,1.373740869,9,19,9798,32169,1796,0,1796,1796,43763,33965,0.678571429,0.321428571,0.233463591,0.766512581,1
5956,2011/10/24,2011/10/24,男,5,广州,广东,CN,43,2014/3/31,43,37827,0,1136,25213,16886,53121,43629.37,2014/3/7,5.375,4728.375,26,25,16.19047619,51,0,0,0,0.82132057,22,21,23424,14403,1136,0,1136,1136,38963,15539,0.488372093,0.511627907,0.619223855,0.380749709,0
52904,2010/11/1,2011/6/13,男,4,KORIYAMA-SHI,FUKUSHIMA-KEN,JP,62,2014/3/31,36,29007,0,0,35800,28800,61200,43622,2014/3/13,4.5,3625.875,2,19,20.28571429,67,0,0,4,0.712777778,20,16,16115,12892,0,0,0,0,29007,12892,0.444444444,0.555555556,0.555536404,0.444429123,4
27958,2006/11/6,2007/7/1,女,5,广州,广东,CN,39,2014/3/31,54,34206,0,2190,20538,21698,62109,43621.8,2014/3/14,6.75,4275.75,1,18,13.43396226,74,0,3000,1,0.702342656,24,30,14642,19564,2190,3000,5190,5190,39396,24754,0.555555556,0.444444444,0.428041044,0.571929722,4
44644,2006/12/1,2006/12/1,男,6,长春,吉林,CN,53,2014/3/31,39,40901,0,2097,14872,25503,41912,43619.69,2014/3/30,4.875,5112.625,55,2,17.73684211,76,0,0,3,1.040744655,18,21,13416,27485,2097,0,2097,2097,42998,29582,0.538461538,0.461538462,0.328003521,0.671972031,3
687,2006/5/25,2006/5/25,男,4,珠海,广东,CN,40,2014/3/31,35,33989,0,0,16610,13976,68660,43615.73,2014/2/17,4.375,4248.625,1,44,20.17647059,83,17801,28212,0,0.635242208,23,12,18025,15964,0,46013,46013,28212,80002,44176,0.342857143,0.657142857,0.53030303,0.469667549,34
47202,2005/3/28,2005/3/31,男,5,北京,北京,CN,39,2014/3/31,24,40724,0,0,30885,7873,39750,43611.82,2014/1/27,3,5090.5,1,65,28.91304348,131,1500,0,0,1.097152704,17,7,32373,8351,0,1500,1500,0,42224,8351,0.291666667,0.708333333,0.794917127,0.205058318,1
39104,2008/4/18,2008/4/18,女,5,深圳,广东,CN,39,2014/3/31,47,33754,0,0,13606,14354,70654,43604.36,2014/3/29,5.875,4219.25,3,3,15.76086957,137,0,0,4,0.617153452,24,23,18212,15542,0,0,0,0,33754,15542,0.489361702,0.510638298,0.539534884,0.460435491,7
23369,2011/6/30,2011/9/1,男,4,中山,广东,CN,53,2014/3/31,26,31172,0,0,16958,6002,61579,43602.93,2014/3/22,3.25,3896.5,40,10,27.24,78,10000,0,0,0.708081164,14,12,16556,14616,0,10000,10000,0,41172,14616,0.461538462,0.538461538,0.531100632,0.468867289,2
34441,2013/3/12,2013/3/15,男,5,北京,北京,CN,70,2014/3/31,21,43420,0,2371,2550,34009,35233,43602.89,2014/3/29,4.2,8684,3,3,19,75,0,0,0,1.237558255,1,20,2862,40558,2371,0,2371,2371,45791,42929,0.952380952,0.047619048,0.065912807,0.934064163,0
51288,2012/2/12,2012/2/12,男,5,深圳,广东,CN,35,2014/3/31,47,35107,0,2486,2964,28166,64571,43589.23,2014/3/26,5.875,4388.375,21,6,15.30434783,176,0,0,2,0.675058927,10,37,10076,25031,2486,0,2486,2486,37593,27517,0.787234043,0.212765957,0.287000114,0.712971403,2
45348,2011/12/22,2012/1/13,男,5,郑州,河南,CN,39,2014/3/31,53,42846,0,3980,15884,22750,53145,43575.78,2014/3/30,6.625,5355.75,25,2,13.53846154,76,0,0,0,0.819941293,23,30,18871,23975,3980,0,3980,3980,46826,27955,0.566037736,0.433962264,0.440427568,0.559549093,1
19871,2012/7/12,2012/8/11,男,5,上海,上海,CN,40,2014/3/31,21,42986,0,835,0,28040,33472,43571.64,2014/3/19,3,6140.857143,30,13,29.3,138,888,11156,0,1.301733987,5,16,9167,33819,835,12044,12879,11991,55865,45810,0.761904762,0.238095238,0.213250518,0.78672622,2
58261,2009/12/1,2009/12/1,男,4,PENANG,PENANG,MY,62,2014/3/31,22,24278,0,0,15797,14972,61446,43570.8,2014/3/21,2.75,3034.75,9,11,33.85714286,150,0,0,2,0.709090909,10,12,12626,11652,0,0,0,0,24278,11652,0.545454545,0.454545455,0.520037893,0.479920919,2
17637,2006/7/12,2006/7/16,男,5,沈阳市,辽宁省,CN,44,2014/3/31,49,39166,0,433,16434,13819,56230,43564.03,2014/3/11,6.125,4895.75,9,21,14.60416667,69,1500,0,0,0.77474711,27,22,19609,19557,433,1500,1933,433,41099,19990,0.448979592,0.551020408,0.500651058,0.49932341,1
