store_id,city,channel,gender_group,age_group,wkd_ind,product,customer,revenue,order,quant,unit_cost,unit_price
802,西安,线下,Female,20-24,Weekday,配件,1,99,1,1,29,99
135,上海,线下,Male,40-44,Weekend,T恤,1,79,1,1,49,79
360,成都,线下,Male,25-29,Weekday,袜子,1,26,1,1,9,26
369,广州,线下,Female,35-39,Weekend,短裤,1,33,1,1,19,33
648,西安,线下,Unkown,Unkown,Weekend,T恤,1,79,1,1,49,79
437,重庆,线下,Female,40-44,Weekend,运动,1,39,1,1,49,39
32,武汉,线上,Female,25-29,Weekday,T恤,2,158,2,2,49,79
229,深圳,线下,Male,>=60,Weekday,T恤,1,39,1,1,49,39
479,深圳,线下,Female,30-34,Weekday,T恤,2,138,2,2,49,69
19,南京,线下,Female,55-59,Weekend,袜子,1,79,1,3,9,26
479,深圳,线下,Female,35-39,Weekday,牛仔裤,1,39,1,1,69,39
46,武汉,线下,Female,50-54,Weekday,当季新品,3,196,3,3,59,65
336,西安,线下,Male,20-24,Weekday,袜子,2,99,2,4,9,25
437,重庆,线下,Male,>=60,Weekend,T恤,1,99,1,1,49,99
142,上海,线下,Female,50-54,Weekday,T恤,1,297,3,3,49,99
496,上海,线下,Female,30-34,Weekday,T恤,1,99,1,1,49,99
648,西安,线下,Female,40-44,Weekend,当季新品,1,19,1,1,59,19
480,重庆,线下,Female,30-34,Weekday,毛衣,3,397,3,3,99,132
46,武汉,线下,Female,35-39,Weekday,T恤,2,117,2,2,49,59
146,杭州,线下,Male,<20,Weekday,当季新品,1,79,1,1,59,79
312,杭州,线下,Female,55-59,Weekday,当季新品,2,158,2,2,59,79
137,西安,线上,Female,20-24,Weekday,袜子,1,53,1,2,9,27
648,西安,线下,Female,30-34,Weekday,T恤,2,158,2,2,49,79
148,深圳,线下,Female,40-44,Weekday,T恤,1,79,1,1,49,79
28,武汉,线上,Female,20-24,Weekend,T恤,2,198,2,2,49,99
142,上海,线下,Female,30-34,Weekday,T恤,4,153,4,4,49,38
312,杭州,线下,Female,35-39,Weekday,T恤,1,199,1,1,49,199
738,深圳,线下,Female,55-59,Weekday,运动,1,96,1,1,49,96
575,杭州,线下,Female,30-34,Weekend,T恤,1,57.43,1,1,49,57
91,武汉,线上,Female,25-29,Weekend,T恤,3,295,3,3,49,98
52,武汉,线上,Male,30-34,Weekday,T恤,1,59,1,1,49,59
142,上海,线下,Female,<20,Weekday,T恤,1,55.33,1,1,49,55
148,深圳,线下,Male,45-49,Weekend,当季新品,2,231,2,3,59,77
831,杭州,线下,Female,40-44,Weekend,T恤,1,79,1,1,49,79
207,上海,线上,Female,40-44,Weekend,当季新品,10,1629,10,10,59,163
280,深圳,线下,Female,30-34,Weekend,当季新品,1,49,1,1,59,49
375,广州,线上,Female,35-39,Weekend,T恤,1,99,1,1,49,99
135,上海,线下,Female,>=60,Weekday,当季新品,2,134,2,2,59,67
46,武汉,线下,Male,20-24,Weekday,T恤,3,300.82,4,6,49,50
21,北京,线下,Female,20-24,Weekend,T恤,2,198,2,2,49,99
605,成都,线下,Female,35-39,Weekend,袜子,1,79,1,1,9,79
759,重庆,线下,Male,20-24,Weekend,配件,3,277,3,3,29,92
148,深圳,线下,Male,>=60,Weekday,T恤,2,198,2,2,49,99
479,深圳,线下,Male,30-34,Weekend,T恤,1,59,1,1,49,59
248,杭州,线下,Female,40-44,Weekend,袜子,1,27,1,1,9,27
135,上海,线下,Female,30-34,Weekend,T恤,2,327,2,3,49,109
520,杭州,线下,Female,50-54,Weekend,当季新品,1,189,1,1,59,189
437,重庆,线下,Female,40-44,Weekday,配件,1,149,1,1,29,149
142,上海,线下,Female,25-29,Weekend,T恤,1,99,1,1,49,99
70,深圳,线下,Male,25-29,Weekend,当季新品,1,78,1,1,59,78
648,西安,线下,Male,25-29,Weekday,T恤,1,99,1,1,49,99
737,深圳,线下,Female,30-34,Weekday,T恤,1,99,1,1,49,99
312,杭州,线下,Female,25-29,Weekday,袜子,2,46,2,2,9,23
135,上海,线下,Male,20-24,Weekend,毛衣,1,149,1,1,99,149
229,深圳,线下,Male,30-34,Weekend,T恤,1,99,1,1,49,99
280,深圳,线下,Female,35-39,Weekday,T恤,1,198,1,2,49,99
437,重庆,线下,Female,25-29,Weekday,T恤,1,59,1,1,49,59
437,重庆,线下,Female,30-34,Weekend,短裤,2,66,2,2,19,33
256,武汉,线下,Female,30-34,Weekday,当季新品,1,79,1,1,59,79
420,广州,线上,Female,30-34,Weekend,T恤,1,99,1,1,49,99
91,武汉,线上,Female,40-44,Weekend,T恤,1,149,1,1,49,149
98,成都,线下,Male,25-29,Weekend,T恤,1,79,1,1,49,79
796,深圳,线下,Female,30-34,Weekend,袜子,1,79,1,1,9,79
46,武汉,线下,Male,40-44,Weekend,T恤,1,79,1,1,49,79
437,重庆,线下,Male,35-39,Weekend,当季新品,1,149,1,1,59,149
669,重庆,线下,Male,25-29,Weekday,T恤,2,178,2,2,49,89
796,深圳,线下,Female,25-29,Weekday,T恤,1,99,1,1,49,99
229,深圳,线下,Female,40-44,Weekday,牛仔裤,3,547,3,3,69,182
256,武汉,线下,Female,35-39,Weekday,T恤,1,99,1,1,49,99
98,成都,线下,Male,>=60,Weekend,T恤,4,196,4,4,49,49
658,深圳,线下,Female,35-39,Weekday,T恤,1,99,1,1,49,99
207,上海,线上,Female,30-34,Weekday,T恤,1,99,1,1,49,99
420,广州,线上,Female,40-44,Weekday,T恤,2,198,2,2,49,99
231,广州,线下,Male,20-24,Weekday,T恤,1,69,1,1,49,69
21,北京,线下,Female,>=60,Weekend,牛仔裤,1,149,1,1,69,149
46,武汉,线下,Male,25-29,Weekday,T恤,1,79,1,1,49,79
46,武汉,线下,Female,40-44,Weekend,T恤,1,59,1,1,49,59
737,深圳,线下,Male,25-29,Weekend,当季新品,2,171,2,3,59,57
420,广州,线上,Female,20-24,Weekday,T恤,3,297,3,3,49,99
50,武汉,线上,Male,>=60,Weekday,配件,2,298,2,2,29,149
649,杭州,线下,Female,40-44,Weekend,T恤,2,78,2,2,49,39
375,广州,线上,Male,20-24,Weekend,T恤,1,99,1,1,49,99
182,广州,线上,Male,<20,Weekday,裙子,1,199,1,1,59,199
758,杭州,线下,Female,55-59,Weekday,T恤,1,59,1,1,49,59
658,深圳,线下,Male,35-39,Weekday,T恤,1,79,1,1,49,79
231,广州,线下,Male,30-34,Weekday,短裤,1,40,1,1,19,40
280,深圳,线下,Male,25-29,Weekday,袜子,1,27,1,1,9,27
280,深圳,线下,Female,20-24,Weekday,T恤,1,79,1,1,49,79
399,广州,线下,Unkown,Unkown,Weekday,T恤,1,99,1,1,49,99
19,南京,线下,Male,<20,Weekend,T恤,1,198,1,2,49,99
148,深圳,线下,Male,25-29,Weekend,T恤,1,79,1,1,49,79
420,广州,线上,Male,30-34,Weekday,袜子,1,27,1,1,9,27
168,武汉,线下,Male,25-29,Weekend,T恤,2,198,2,2,49,99
449,武汉,线下,Female,20-24,Weekend,裙子,1,199,1,1,59,199
480,重庆,线下,Female,30-34,Weekday,配件,5,370,5,6,29,62
91,武汉,线上,Male,45-49,Weekday,毛衣,1,249,1,1,99,249
142,上海,线下,Male,30-34,Weekend,T恤,1,99,1,1,49,99
325,上海,线下,Male,20-24,Weekday,短裤,1,32,1,1,19,32
315,武汉,线下,Male,20-24,Weekend,当季新品,1,54,1,1,59,54
429,西安,线下,Female,25-29,Weekday,配件,6,772,7,8,29,97
182,广州,线上,Female,35-39,Weekday,牛仔裤,2,118,2,2,69,59
135,上海,线下,Female,30-34,Weekday,牛仔裤,1,19,1,1,69,19
208,重庆,线下,Male,35-39,Weekend,短裤,1,33,1,1,19,33
21,北京,线下,Female,25-29,Weekend,当季新品,2,136,2,2,59,68
758,杭州,线下,Male,35-39,Weekday,T恤,1,154.67,2,2,49,77
429,西安,线下,Female,30-34,Weekend,T恤,1,59,1,1,49,59
669,重庆,线下,Female,30-34,Weekday,当季新品,2,190,2,3,59,63
360,成都,线下,Male,30-34,Weekend,牛仔裤,1,59,1,1,69,59
420,广州,线上,Male,30-34,Weekday,当季新品,1,298,1,2,59,149
146,杭州,线下,Female,25-29,Weekday,运动,5,573,5,7,49,82
248,杭州,线下,Female,20-24,Weekend,配件,1,139,1,2,29,70
135,上海,线下,Male,35-39,Weekend,T恤,1,58,1,1,49,58
738,深圳,线下,Female,25-29,Weekday,当季新品,2,158,2,2,59,79
52,武汉,线上,Male,20-24,Weekday,T恤,4,366.33,4,4,49,92
280,深圳,线下,Female,35-39,Weekday,牛仔裤,2,298,2,2,69,149
758,杭州,线下,Female,40-44,Weekend,毛衣,2,498,2,2,99,249
70,深圳,线下,Female,35-39,Weekend,配件,5,745,5,5,29,149
442,西安,线下,Female,40-44,Weekday,袜子,1,19,1,1,9,19
248,杭州,线下,Female,20-24,Weekday,T恤,1,79,1,1,49,79
648,西安,线下,Female,35-39,Weekday,袜子,1,78,1,2,9,39
449,武汉,线下,Female,25-29,Weekday,T恤,2,113,2,2,49,57
248,杭州,线下,Unkown,Unkown,Weekday,当季新品,1,79,1,1,59,79
649,杭州,线下,Female,<20,Weekday,短裤,1,40,1,1,19,40
280,深圳,线下,Male,30-34,Weekend,T恤,1,99,1,1,49,99
255,杭州,线下,Female,35-39,Weekday,牛仔裤,1,19,1,1,69,19
20,深圳,线下,Female,45-49,Weekday,牛仔裤,1,199,1,1,69,199
20,深圳,线下,Female,30-34,Weekend,T恤,2,158,2,2,49,79
616,成都,线下,Female,35-39,Weekend,当季新品,9,1872,10,10,59,187
50,武汉,线上,Female,40-44,Weekday,袜子,1,237,1,3,9,79
137,西安,线上,Female,25-29,Weekend,牛仔裤,1,59,1,1,69,59
649,杭州,线下,Female,<20,Weekend,T恤,1,59,1,1,49,59
369,广州,线下,Male,>=60,Weekday,T恤,1,99,1,1,49,99
335,上海,线下,Female,30-34,Weekend,牛仔裤,1,19,1,1,69,19
616,成都,线下,Female,30-34,Weekend,牛仔裤,1,59,1,1,69,59
255,杭州,线下,Female,20-24,Weekday,牛仔裤,1,149,1,1,69,149
142,上海,线下,Female,30-34,Weekend,T恤,2,248,2,2,49,124
737,深圳,线下,Female,35-39,Weekend,T恤,1,79,1,1,49,79
21,北京,线下,Male,25-29,Weekend,当季新品,2,108,2,2,59,54
759,重庆,线下,Female,35-39,Weekday,T恤,2,118,2,2,49,59
312,杭州,线下,Female,25-29,Weekday,配件,4,336,4,4,29,84
148,深圳,线下,Female,25-29,Weekday,毛衣,1,149,1,1,99,149
575,杭州,线下,Male,30-34,Weekday,T恤,1,99,1,1,49,99
207,上海,线上,Female,30-34,Weekday,T恤,1,59,1,1,49,59
737,深圳,线下,Female,30-34,Weekend,T恤,1,99,1,1,49,99
70,深圳,线下,Female,20-24,Weekday,T恤,2,198,2,2,49,99
146,杭州,线下,Female,45-49,Weekend,T恤,1,79,1,1,49,79
91,武汉,线上,Female,30-34,Weekend,T恤,1,99,1,1,49,99
91,武汉,线上,Female,25-29,Weekend,配件,5,1194,5,6,29,199
325,上海,线下,Female,50-54,Weekday,T恤,1,79,1,1,49,79
142,上海,线下,Female,30-34,Weekday,当季新品,2,287,2,2,59,144
248,杭州,线下,Male,>=60,Weekend,运动,1,149,1,1,49,149
19,南京,线下,Male,25-29,Weekend,T恤,1,99,1,1,49,99
738,深圳,线下,Male,35-39,Weekend,T恤,1,59,1,1,49,59
759,重庆,线下,Female,20-24,Weekend,T恤,1,39,1,1,49,39
479,深圳,线下,Female,35-39,Weekday,T恤,6,413,6,7,49,59
575,杭州,线下,Male,35-39,Weekend,袜子,1,20,1,1,9,20
229,深圳,线下,Female,35-39,Weekday,短裤,1,33,1,1,19,33
658,深圳,线下,Male,35-39,Weekend,T恤,1,79,1,1,49,79
519,杭州,线下,Female,25-29,Weekend,当季新品,1,158,1,2,59,79
91,武汉,线上,Male,>=60,Weekend,当季新品,1,227,1,3,59,76
21,北京,线下,Female,30-34,Weekend,T恤,6,693,6,7,49,99
335,上海,线下,Female,30-34,Weekend,T恤,1,79,1,1,49,79
758,杭州,线下,Male,>=60,Weekend,毛衣,1,199,1,1,99,199
375,广州,线上,Female,40-44,Weekday,T恤,2,118,2,2,49,59
480,重庆,线下,Male,>=60,Weekend,当季新品,1,99,1,1,59,99
375,广州,线上,Male,>=60,Weekday,T恤,1,77.78,1,1,49,78
137,西安,线上,Female,35-39,Weekend,当季新品,1,56,1,1,59,56
135,上海,线下,Female,25-29,Weekday,袜子,1,79,1,4,9,20
207,上海,线上,Female,30-34,Weekend,T恤,1,59,1,1,49,59
335,上海,线下,Male,35-39,Weekday,当季新品,1,146,1,1,59,146
429,西安,线下,Male,20-24,Weekday,牛仔裤,1,19,1,1,69,19
19,南京,线下,Female,45-49,Weekday,T恤,1,237,1,3,49,79
323,武汉,线下,Female,25-29,Weekday,袜子,1,27,1,1,9,27
519,杭州,线下,Female,30-34,Weekend,牛仔裤,1,39,1,1,69,39
231,广州,线下,Male,>=60,Weekday,牛仔裤,1,19,1,1,69,19
796,深圳,线下,Female,>=60,Weekend,配件,1,99,1,1,29,99
658,深圳,线下,Male,30-34,Weekday,短裤,1,33,1,1,19,33
19,南京,线下,Female,20-24,Weekday,当季新品,1,111,1,2,59,56
658,深圳,线下,Male,40-44,Weekend,运动,1,39,1,1,49,39
146,杭州,线下,Female,20-24,Weekday,袜子,1,79,1,1,9,79
70,深圳,线下,Female,<20,Weekend,T恤,1,99,1,1,49,99
335,上海,线下,Male,30-34,Weekend,T恤,1,59,1,1,49,59
