MEMBER_NO,FFP_DATE,FIRST_FLIGHT_DATE,GENDER,FFP_TIER,WORK_CITY,WORK_PROVINCE,WORK_COUNTRY,AGE,LOAD_TIME,FLIGHT_COUNT,BP_SUM,EP_SUM_YR_1,EP_SUM_YR_2,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,WEIGHTED_SEG_KM,LAST_FLIGHT_DATE,AVG_FLIGHT_COUNT,AVG_BP_SUM,BEGIN_TO_FIRST,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,ADD_POINTS_SUM_YR_1,ADD_POINTS_SUM_YR_2,EXCHANGE_COUNT,avg_discount,P1Y_Flight_Count,L1Y_Flight_Count,P1Y_BP_SUM,L1Y_BP_SUM,EP_SUM,ADD_Point_SUM,Eli_Add_Point_Sum,L1Y_ELi_Add_Points,Points_Sum,L1Y_Points_Sum,Ration_L1Y_Flight_Count,Ration_P1Y_Flight_Count,Ration_P1Y_BPS,Ration_L1Y_BPS,Point_NotFlight
20315,2005/6/13,2005/8/22,男,4,,,CN,62,2014/3/31,22,23285,0,0,19303,7909,43258,29284.58,2014/2/25,2.75,2910.625,49,36,30.76190476,159,0,0,0,0.676974895,14,8,18426,4859,0,0,0,0,23285,4859,0.363636364,0.636363636,0.791290904,0.208666151,0
9215,2011/6/24,2011/6/30,男,4,深圳,广东,CN,44,2014/3/31,23,24716,0,0,17479,4805,37130,29283.35,2013/11/6,2.875,3089.5,19,147,25.68181818,144,2464,892,0,0.788670886,17,6,20177,4539,0,3356,3356,892,28072,5431,0.260869565,0.739130435,0.816320751,0.183638791,6
29136,2005/3/26,2005/4/27,男,4,,,CN,50,2014/3/31,28,23073,0,0,10823,14692,43670,29282.44,2014/3/23,3.5,2884.125,18,9,26.07407407,116,0,0,0,0.670539043,12,16,10765,12308,0,0,0,0,23073,12308,0.571428571,0.428571429,0.466542429,0.533414232,0
10130,2007/4/29,2010/7/9,男,4,大连,辽宁,CN,58,2014/3/31,23,25116,0,0,16214,7720,37392,29277.53,2013/11/29,2.875,3139.5,27,124,26.36363636,122,628,0,0,0.782989142,14,9,16341,8775,0,628,628,0,25744,8775,0.391304348,0.608695652,0.650595214,0.349364972,1
49779,2010/6/13,2010/7/29,男,4,郑州,河南,CN,38,2014/3/31,40,24531,0,0,13623,13051,43212,29274.77,2014/3/27,5,3066.375,3,5,18.53846154,56,0,0,0,0.677468527,22,18,12469,12062,0,0,0,0,24531,12062,0.45,0.55,0.508274906,0.491684331,0
55523,2010/8/18,2010/12/15,男,4,上海,上海,CN,33,2014/3/31,33,26605,0,0,10041,10796,34134,29269.42,2014/3/21,4.125,3325.625,1,11,22.46875,82,0,0,1,0.857485791,17,16,16861,9744,0,0,0,0,26605,9744,0.484848485,0.515151515,0.633729234,0.36623318,1
55392,2008/12/25,2008/12/25,男,4,广州,广东,CN,38,2014/3/31,22,24852,0,0,11913,13750,40642,29267.11,2013/12/27,2.75,3106.5,37,96,28.47619048,163,2642,8547,3,0.720119827,10,12,12345,12507,0,11189,11189,8547,36041,21054,0.545454545,0.454545455,0.496720718,0.503239046,21
54801,2006/5/14,2006/5/14,男,4,广州,广东,CN,45,2014/3/31,30,20369,0,0,11545,14850,50219,29267.1,2013/12/17,3.75,2546.125,37,106,20.27586207,92,288,0,0,0.582789383,13,17,8330,12039,0,288,288,0,20657,12039,0.566666667,0.433333333,0.408934708,0.5910162,1
29654,2007/7/10,2007/7/10,男,4,汕头,广东,CN,60,2014/3/31,41,29338,0,666,14211,18765,34787,29263.39,2013/12/7,5.125,3667.25,9,116,15.15,67,0,0,0,0.841216259,15,26,12916,16422,666,0,666,666,30004,17088,0.634146341,0.365853659,0.440233137,0.559732779,0
11593,2008/3/11,2008/3/11,男,5,武汉市,湖北,CN,42,2014/3/31,46,22819,0,1280,8550,20440,43748,29250.94,2014/3/31,5.75,2852.375,74,1,14.57777778,104,0,500,0,0.66862348,13,33,7214,15605,1280,500,1780,1780,24599,17385,0.717391304,0.282608696,0.316126205,0.683829974,1
61677,2010/7/2,2011/4/6,女,4,长春,吉林,CN,56,2014/3/31,32,26285,0,0,18936,5699,30722,29247.03,2014/2/5,4,3285.625,10,56,21.4516129,90,0,0,0,0.951989779,20,12,18766,7519,0,0,0,0,26285,7519,0.375,0.625,0.713916153,0.286045804,0
61571,2009/7/28,2009/9/23,男,4,沈阳,辽宁,CN,35,2014/3/31,27,22720,0,0,16712,6785,41211,29246.06,2014/1/3,3.375,2840,71,89,21.96153846,133,1446,1552,1,0.709666351,20,7,14767,7953,0,2998,2998,1552,25718,9505,0.259259259,0.740740741,0.64992738,0.350028608,8
9756,2006/8/10,2006/9/22,男,5,广州,广东,CN,41,2014/3/31,21,26920,0,554,13980,15720,20762,29242.05,2014/3/22,2.625,3365,21,10,35,141,1600,0,3,1.408440902,11,10,11581,15339,554,1600,2154,554,29074,15893,0.476190476,0.523809524,0.430184614,0.56977824,5
3071,2008/2/24,2013/1/16,男,5,深圳,广东,CN,39,2014/3/31,15,27864,0,838,0,18934,23268,29241.11,2014/3/28,1.875,3483,290,4,31.21428571,94,888,0,0,1.256709214,1,14,1816,26048,838,888,1726,838,29590,26886,0.933333333,0.066666667,0.065171362,0.934792751,1
26963,2006/4/21,2006/4/22,男,4,乌鲁木齐市,新疆,CN,54,2014/3/31,18,23506,0,0,8167,12020,44055,29237.68,2014/2/10,2.25,2938.25,149,51,31.23529412,144,0,2099,1,0.663663148,6,12,9247,14259,0,2099,2099,2099,25605,16358,0.666666667,0.333333333,0.393372187,0.606585272,2
4620,2010/4/5,2010/4/5,男,4,,,CN,44,2014/3/31,32,25750,0,0,12446,15358,39658,29237.15,2014/3/31,4,3218.75,24,1,22.77419355,123,1589,209,4,0.737232084,12,20,11197,14553,0,1798,1798,209,27548,14762,0.625,0.375,0.434818065,0.565143101,19
