MEMBER_NO,FFP_DATE,FIRST_FLIGHT_DATE,GENDER,FFP_TIER,WORK_CITY,WORK_PROVINCE,WORK_COUNTRY,AGE,LOAD_TIME,FLIGHT_COUNT,BP_SUM,EP_SUM_YR_1,EP_SUM_YR_2,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,WEIGHTED_SEG_KM,LAST_FLIGHT_DATE,AVG_FLIGHT_COUNT,AVG_BP_SUM,BEGIN_TO_FIRST,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,ADD_POINTS_SUM_YR_1,ADD_POINTS_SUM_YR_2,EXCHANGE_COUNT,avg_discount,P1Y_Flight_Count,L1Y_Flight_Count,P1Y_BP_SUM,L1Y_BP_SUM,EP_SUM,ADD_Point_SUM,Eli_Add_Point_Sum,L1Y_ELi_Add_Points,Points_Sum,L1Y_Points_Sum,Ration_L1Y_Flight_Count,Ration_P1Y_Flight_Count,Ration_P1Y_BPS,Ration_L1Y_BPS,Point_NotFlight
35603,2007/9/5,2007/11/12,男,4,沈阳市,辽宁省,CN,58,2014/3/31,41,20317,0,546,7471,15425,28982,21812.68,2014/2/21,5.125,2539.625,2,40,17.225,98,1600,800,9,0.752628528,13,28,6548,13769,546,2400,2946,1346,23263,15115,0.682926829,0.317073171,0.322275815,0.677674968,12
40508,2010/7/23,2010/7/23,男,4,大连市,辽宁,CN,37,2014/3/31,32,18794,0,0,16682,6979,28074,21809.38,2014/3/21,4,2349.25,3,11,23.12903226,96,16,4127,1,0.776853316,21,11,12478,6316,0,4143,4143,4127,22937,10443,0.34375,0.65625,0.663899973,0.336046821,15
42456,2012/12/27,2012/12/27,男,5,武汉,湖北,CN,54,2014/3/31,27,20172,0,978,3456,15735,27047,21807.44,2014/2/29  0:00:00,4.5,3362,0,32,16.5,69,0,0,0,0.806279439,5,22,3312,16860,978,0,978,978,21150,17838,0.814814815,0.185185185,0.164179844,0.835770584,0
35530,2007/7/15,2007/7/15,男,5,长春,吉林,CN,39,2014/3/31,20,20668,0,0,5745,14264,27393,21806.87,2014/2/27,2.5,2583.5,228,34,24.68421053,155,0,0,2,0.796074545,7,13,5186,15482,0,0,0,0,20668,15482,0.65,0.35,0.250907156,0.749044463,2
22506,2009/12/3,2009/12/15,男,5,鞍山,辽宁,CN,46,2014/3/31,28,16795,0,0,7931,12005,33107,21805.32,2014/2/29  0:00:00,3.5,2099.375,95,32,22.37037037,132,0,0,0,0.658631709,11,17,7561,9234,0,0,0,0,16795,9234,0.607142857,0.392857143,0.450166706,0.549773756,0
10391,2010/9/2,2011/6/21,男,4,广州市,广东省,CN,36,2014/3/31,20,14733,0,0,1365,15007,36077,21804.73,2014/2/6,2.5,1841.625,41,55,33.42105263,311,2269,8882,1,0.604394212,5,15,3069,11664,0,11151,11151,8882,25884,20546,0.75,0.25,0.208293742,0.791638387,16
1717,2012/6/16,2012/9/27,男,4,北京,北京,CN,44,2014/3/31,15,19851,0,0,7806,10933,29144,21803.27,2014/3/15,1.875,2481.375,103,17,38.21428571,81,0,0,0,0.748122083,7,8,6607,13244,0,0,0,0,19851,13244,0.533333333,0.466666667,0.332812815,0.667136812,0
23332,2011/3/31,2011/3/31,男,4,长春,吉林,CN,32,2014/3/31,14,16833,0,0,16722,470,30242,21801.62,2013/6/7,1.75,2104.125,4,299,32.92307692,130,0,0,0,0.720905363,13,1,16502,331,0,0,0,0,16833,331,0.071428571,0.928571429,0.980278009,0.019662588,0
56589,2007/7/6,2009/12/27,男,4,深圳,广东,CN,41,2014/3/31,23,18765,0,0,14381,6869,28108,21801.3,2014/2/28,2.875,2345.625,25,33,30.59090909,123,3000,0,1,0.775626156,15,8,12084,6681,0,3000,3000,0,21765,6681,0.347826087,0.652173913,0.643930513,0.3560162,5
4970,2010/11/17,2010/11/19,男,4,广州,广东,CN,31,2014/3/31,17,22330,0,0,14067,5298,29450,21800.09,2013/11/5,2.125,2791.25,9,148,35.875,138,0,0,0,0.740240747,12,5,17256,5074,0,0,0,0,22330,5074,0.294117647,0.705882353,0.77273745,0.227217769,0
15105,2012/1/17,2012/3/14,男,4,深圳,广东,CN,32,2014/3/31,35,18026,0,0,11549,12049,35839,21799.82,2014/3/31,4.375,2253.25,24,1,20.76470588,140,7,1163,0,0.608270878,19,16,8648,9378,0,1170,1170,1163,19196,10541,0.457142857,0.542857143,0.479724857,0.52021967,6
60218,2012/1/10,2012/1/10,男,4,重庆市,重庆,CN,35,2014/3/31,16,17506,0,0,10524,5253,35053,21794.46,2013/12/21,2,2188.25,38,102,39.4,211,200,1019,0,0.621757339,10,6,11793,5713,0,1219,1219,1019,18725,6732,0.375,0.625,0.673616268,0.326326612,4
17428,2010/5/20,2011/5/26,男,4,北京,,CN,66,2014/3/31,25,15443,0,0,18764,1139,39893,21789.64,2013/8/29,3.125,1930.375,16,216,20.79166667,206,0,0,0,0.546202091,24,1,14680,763,0,0,0,0,15443,763,0.04,0.96,0.950530951,0.049404299,0
48744,2011/7/13,2011/11/21,男,4,ALOR SETAR,KEDAH DARUL AMAN,MY,58,2014/3/31,16,11483,0,0,6064,9206,33110,21786.59,2014/3/21,2,1435.375,137,11,38.86666667,153,0,0,0,0.658006342,6,10,4306,7177,0,0,0,0,11483,7177,0.625,0.375,0.374956461,0.624956461,0
8325,2011/1/26,2012/8/26,男,4,乌鲁木齐,新疆,CN,48,2014/3/31,12,17276,0,0,5888,11325,32651,21786.39,2014/3/26,1.5,2159.5,147,6,52.54545455,184,0,0,0,0.667250314,3,9,6524,10752,0,0,0,0,17276,10752,0.75,0.25,0.377611854,0.622330266,0
1102,2007/1/23,2007/6/15,女,4,广州,广东,CN,46,2014/3/31,26,17815,0,0,9610,11916,31979,21781.67,2014/3/3,3.25,2226.875,0,29,28.08,117,12785,10768,3,0.681124175,11,15,7820,9995,0,23553,23553,10768,41368,20763,0.576923077,0.423076923,0.438931298,0.561012573,28
8941,2008/10/25,2009/1/16,男,4,乌鲁木齐,新疆,CN,40,2014/3/31,19,16032,0,0,2941,14753,35815,21781.04,2013/12/22,2.375,2004,132,101,27.66666667,108,0,0,0,0.608154125,5,14,1419,14613,0,0,0,0,16032,14613,0.736842105,0.263157895,0.088504959,0.91143267,0
