store_id,city,channel,gender_group,age_group,wkd_ind,product,customer,revenue,order,quant,unit_cost,unit_price
759,重庆,线下,Female,30-34,Weekday,运动,3,197,3,3,49,66
758,杭州,线下,Female,25-29,Weekend,配件,1,149,1,1,29,149
611,深圳,线下,Female,25-29,Weekday,T恤,3,197,3,3,49,66
231,广州,线下,Male,30-34,Weekday,短裤,1,40,1,1,19,40
520,杭州,线下,Female,25-29,Weekend,短裤,1,33,1,1,19,33
496,上海,线下,Male,30-34,Weekday,袜子,1,26,1,1,9,26
256,武汉,线下,Female,50-54,Weekend,T恤,1,79,1,1,49,79
142,上海,线下,Female,20-24,Weekend,T恤,1,99,1,1,49,99
312,杭州,线下,Female,45-49,Weekday,T恤,1,79,1,1,49,79
399,广州,线下,Male,40-44,Weekday,袜子,1,79,1,3,9,26
21,北京,线下,Female,25-29,Weekend,裙子,1,99,1,1,59,99
325,上海,线下,Female,>=60,Weekday,毛衣,1,59,1,1,99,59
519,杭州,线下,Female,30-34,Weekday,短裤,2,70.89,2,2,19,35
616,成都,线下,Female,30-34,Weekday,T恤,5,411,5,5,49,82
449,武汉,线下,Male,35-39,Weekend,配件,2,178,2,2,29,89
52,武汉,线上,Female,55-59,Weekday,袜子,1,39,1,1,9,39
21,北京,线下,Male,25-29,Weekday,T恤,1,79,1,1,49,79
28,武汉,线上,Female,20-24,Weekend,T恤,2,198,2,2,49,99
248,杭州,线下,Female,40-44,Weekend,袜子,2,100,2,4,9,25
19,南京,线下,Male,20-24,Weekday,T恤,1,59,1,1,49,59
19,南京,线下,Female,30-34,Weekday,T恤,3,230.39,3,3,49,77
737,深圳,线下,Male,35-39,Weekday,毛衣,2,342,2,2,99,171
52,武汉,线上,Female,<20,Weekend,配件,3,316,3,4,29,79
182,广州,线上,Female,40-44,Weekday,牛仔裤,1,39,1,1,69,39
146,杭州,线下,Female,35-39,Weekday,当季新品,1,39,1,1,59,39
32,武汉,线上,Male,30-34,Weekday,T恤,2,297,2,3,49,99
669,重庆,线下,Female,<20,Weekday,当季新品,1,149,1,1,59,149
245,杭州,线下,Male,35-39,Weekend,袜子,1,49,1,1,9,49
28,武汉,线上,Female,20-24,Weekend,袜子,3,57,3,3,9,19
46,武汉,线下,Female,40-44,Weekday,T恤,1,79,1,1,49,79
182,广州,线上,Female,40-44,Weekday,T恤,1,79,1,1,49,79
323,武汉,线下,Male,20-24,Weekday,配件,1,55.3,1,1,29,55
256,武汉,线下,Female,25-29,Weekend,T恤,3,447,3,3,49,149
831,杭州,线下,Male,35-39,Weekday,T恤,1,79,1,1,49,79
70,深圳,线下,Female,30-34,Weekend,T恤,1,99,1,1,49,99
207,上海,线上,Male,40-44,Weekend,T恤,2,198,2,2,49,99
207,上海,线上,Male,>=60,Weekend,袜子,1,54,1,2,9,27
648,西安,线下,Female,20-24,Weekday,当季新品,1,54,1,1,59,54
148,深圳,线下,Female,25-29,Weekend,短裤,1,33,1,1,19,33
20,深圳,线下,Female,45-49,Weekday,T恤,2,237,2,3,49,79
98,成都,线下,Female,20-24,Weekend,T恤,1,79,1,1,49,79
759,重庆,线下,Female,30-34,Weekday,T恤,1,99,1,1,49,99
98,成都,线下,Male,30-34,Weekend,短裤,1,33,1,1,19,33
605,成都,线下,Male,>=60,Weekday,牛仔裤,2,398,2,2,69,199
611,深圳,线下,Female,35-39,Weekend,T恤,1,149,1,1,49,149
50,武汉,线上,Female,20-24,Weekend,配件,1,99,1,1,29,99
255,杭州,线下,Female,25-29,Weekday,T恤,2,448,2,2,49,224
248,杭州,线下,Male,25-29,Weekday,袜子,4,77,4,4,9,19
430,成都,线下,Female,25-29,Weekday,袜子,1,13.33,1,1,9,13
19,南京,线下,Female,20-24,Weekend,裙子,1,99,1,1,59,99
229,深圳,线下,Male,35-39,Weekend,短裤,1,33,1,1,19,33
208,重庆,线下,Female,30-34,Weekend,裙子,4,336,4,4,59,84
135,上海,线下,Female,25-29,Weekend,T恤,1,79,1,1,49,79
449,武汉,线下,Female,40-44,Weekend,短裤,1,40,1,1,19,40
135,上海,线下,Male,20-24,Weekday,牛仔裤,1,39,1,1,69,39
208,重庆,线下,Female,30-34,Weekday,T恤,6,514,6,6,49,86
70,深圳,线下,Male,35-39,Weekend,T恤,2,198,2,2,49,99
135,上海,线下,Female,35-39,Weekend,牛仔裤,1,59,1,1,69,59
229,深圳,线下,Male,50-54,Weekday,当季新品,1,189,1,1,59,189
605,成都,线下,Male,>=60,Weekend,T恤,1,79,1,1,49,79
229,深圳,线下,Male,30-34,Weekend,T恤,1,99,1,1,49,99
758,杭州,线下,Male,55-59,Weekday,当季新品,1,90,1,1,59,90
255,杭州,线下,Male,>=60,Weekend,T恤,4,355,4,5,49,71
248,杭州,线下,Female,45-49,Weekday,T恤,2,198,2,2,49,99
315,武汉,线下,Male,35-39,Weekend,运动,1,149,1,1,49,149
52,武汉,线上,Female,30-34,Weekend,短裤,1,39,1,1,19,39
360,成都,线下,Female,30-34,Weekend,T恤,1,59,1,1,49,59
519,杭州,线下,Female,25-29,Weekend,配件,2,158,2,2,29,79
229,深圳,线下,Female,40-44,Weekday,T恤,1,99,1,1,49,99
182,广州,线上,Female,35-39,Weekday,当季新品,1,254,1,2,59,127
207,上海,线上,Female,35-39,Weekday,牛仔裤,1,59,1,1,69,59
575,杭州,线下,Female,30-34,Weekday,当季新品,2,158,2,2,59,79
429,西安,线下,Female,30-34,Weekend,T恤,5,351,5,6,49,59
182,广州,线上,Female,>=60,Weekend,T恤,1,79,1,1,49,79
248,杭州,线下,Male,20-24,Weekday,当季新品,2,158,2,2,59,79
280,深圳,线下,Male,30-34,Weekend,T恤,1,56,1,1,49,56
70,深圳,线下,Female,>=60,Weekday,配件,1,95.15,1,1,29,95
325,上海,线下,Female,20-24,Weekend,配件,1,99,1,1,29,99
738,深圳,线下,Female,25-29,Weekend,牛仔裤,2,118,2,2,69,59
19,南京,线下,Male,35-39,Weekday,毛衣,1,199,1,1,99,199
605,成都,线下,Female,30-34,Weekend,T恤,1,79,1,1,49,79
323,武汉,线下,Male,>=60,Weekday,T恤,2,138,2,2,49,69
737,深圳,线下,Male,>=60,Weekday,T恤,1,99,1,1,49,99
280,深圳,线下,Female,20-24,Weekday,T恤,1,79,1,1,49,79
519,杭州,线下,Female,30-34,Weekend,配件,1,99,1,1,29,99
796,深圳,线下,Female,30-34,Weekday,T恤,11,666,11,14,49,48
429,西安,线下,Female,20-24,Weekday,T恤,1,79,1,1,49,79
336,西安,线下,Female,45-49,Weekday,T恤,1,39,1,1,49,39
52,武汉,线上,Male,35-39,Weekday,当季新品,1,79,1,1,59,79
207,上海,线上,Female,25-29,Weekday,牛仔裤,9,1633.93,9,10,69,163
369,广州,线下,Female,20-24,Weekday,T恤,1,79,1,1,49,79
135,上海,线下,Female,25-29,Weekend,T恤,1,39,1,1,49,39
323,武汉,线下,Female,25-29,Weekday,T恤,1,99,1,1,49,99
280,深圳,线下,Female,20-24,Weekend,T恤,1,75,1,1,49,75
611,深圳,线下,Male,35-39,Weekend,T恤,1,99,1,1,49,99
46,武汉,线下,Female,40-44,Weekday,牛仔裤,4,796,4,4,69,199
248,杭州,线下,Female,20-24,Weekday,裙子,4,376,4,4,59,94
245,杭州,线下,Female,20-24,Weekend,T恤,1,39,1,1,49,39
658,深圳,线下,Male,25-29,Weekday,T恤,1,99,1,1,49,99
759,重庆,线下,Female,40-44,Weekday,T恤,1,99,1,1,49,99
229,深圳,线下,Male,30-34,Weekday,T恤,2,198,2,2,49,99
20,深圳,线下,Female,20-24,Weekend,T恤,1,99,1,1,49,99
207,上海,线上,Female,>=60,Weekday,短裤,1,79,1,1,19,79
46,武汉,线下,Male,25-29,Weekend,T恤,1,79,1,1,49,79
280,深圳,线下,Male,>=60,Weekday,T恤,1,79,1,1,49,79
21,北京,线下,Female,20-24,Weekend,袜子,1,53,1,2,9,27
449,武汉,线下,Male,45-49,Weekend,运动,1,39,1,1,49,39
519,杭州,线下,Female,35-39,Weekend,袜子,2,52,2,2,9,26
737,深圳,线下,Male,40-44,Weekend,当季新品,1,189,1,1,59,189
