MEMBER_NO,FFP_DATE,FIRST_FLIGHT_DATE,GENDER,FFP_TIER,WORK_CITY,WORK_PROVINCE,WORK_COUNTRY,AGE,LOAD_TIME,FLIGHT_COUNT,BP_SUM,EP_SUM_YR_1,EP_SUM_YR_2,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,WEIGHTED_SEG_KM,LAST_FLIGHT_DATE,AVG_FLIGHT_COUNT,AVG_BP_SUM,BEGIN_TO_FIRST,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,ADD_POINTS_SUM_YR_1,ADD_POINTS_SUM_YR_2,EXCHANGE_COUNT,avg_discount,P1Y_Flight_Count,L1Y_Flight_Count,P1Y_BP_SUM,L1Y_BP_SUM,EP_SUM,ADD_Point_SUM,Eli_Add_Point_Sum,L1Y_ELi_Add_Points,Points_Sum,L1Y_Points_Sum,Ration_L1Y_Flight_Count,Ration_P1Y_Flight_Count,Ration_P1Y_BPS,Ration_L1Y_BPS,Point_NotFlight
39031,2011/1/24,2011/1/25,男,4,深圳,广东,CN,46,2014/3/31,19,22994,0,0,11277,10279,32265,23942.38,2014/3/26,2.375,2874.25,54,6,37.27777778,277,0,0,0,0.742054238,9,10,12122,10872,0,0,0,0,22994,10872,0.526315789,0.473684211,0.527158078,0.472798434,0
7804,2011/1/25,2011/1/25,男,4,上海,上海,CN,44,2014/3/31,33,22121,0,0,13838,5619,32739,23940.7,2014/3/6,4.125,2765.125,38,26,20.84375,144,0,0,1,0.731259354,23,10,13741,8380,0,0,0,0,22121,8380,0.303030303,0.696969697,0.62114637,0.378808426,4
7340,2013/2/16,2013/2/19,女,4,广州,广东,CN,48,2014/3/31,9,20123,0,0,1068,10633,32961,23937.38,2014/3/26,1.8,4024.6,3,6,50.125,138,0,0,0,0.726233427,1,8,636,19487,0,0,0,0,20123,19487,0.888888889,0.111111111,0.031604055,0.968346253,0
1251,2007/12/5,2007/12/25,女,4,广州,广东,CN,33,2014/3/31,4,21745,0,0,0,14800,30398,23935.17,2014/1/11,0.5,2718.125,434,81,72,184,0,0,0,0.787392921,0,4,0,21745,0,0,0,0,21745,21745,1,0,0,0.999954015,0
22805,2010/6/30,2010/6/30,男,4,广州,广东,CN,34,2014/3/31,22,19652,0,0,14511,7206,32840,23933.79,2013/10/14,2.75,2456.5,74,170,23.19047619,93,0,100,1,0.728799939,12,10,14588,5064,0,100,100,100,19752,5164,0.454545455,0.545454545,0.742278533,0.257670585,2
8085,2009/8/8,2009/10/27,男,4,哈市,黑龙江,CN,43,2014/3/31,24,22396,0,0,8544,13060,31682,23930.52,2014/2/24,3,2799.5,59,37,27.60869565,129,0,0,0,0.75533489,11,13,9770,12626,0,0,0,0,22396,12626,0.541666667,0.458333333,0.436219136,0.563736215,0
21344,2008/5/11,2009/2/22,男,4,广州,广东,CN,39,2014/3/31,8,21348,0,0,10072,5000,33346,23922.6,2013/9/28,1,2668.5,8,186,76.71428571,315,12181,7153,0,0.717405386,6,2,15350,5998,0,19334,19334,7153,40682,13151,0.25,0.75,0.719003232,0.280949927,25
46404,2009/8/25,2010/5/30,男,4,广州,广东,CN,31,2014/3/31,17,21897,0,0,11984,8840,30885,23921.2,2014/2/26,2.125,2737.125,3,35,43.3125,114,1117,2807,0,0.77452485,10,7,11976,9921,0,3924,3924,2807,25821,12728,0.411764706,0.588235294,0.54689926,0.453055074,11
34806,2011/1/18,2011/2/9,女,4,大连,辽宁,CN,41,2014/3/31,13,21355,0,0,12165,2185,16275,23907.96,2014/2/6,1.625,2669.375,29,55,53.91666667,160,0,0,0,1.468999078,6,7,12816,8539,0,0,0,0,21355,8539,0.538461538,0.461538462,0.600112381,0.399840794,0
8180,2009/9/7,2009/12/8,男,4,北京,北京,CN,44,2014/3/31,20,21724,0,0,12373,9200,28351,23907.45,2013/12/11,2.5,2715.5,116,112,26.47368421,87,0,0,0,0.843266551,13,7,11691,10033,0,0,0,0,21724,10033,0.35,0.65,0.538135788,0.461818182,1
