MEMBER_NO,FFP_DATE,FIRST_FLIGHT_DATE,GENDER,FFP_TIER,WORK_CITY,WORK_PROVINCE,WORK_COUNTRY,AGE,LOAD_TIME,FLIGHT_COUNT,BP_SUM,EP_SUM_YR_1,EP_SUM_YR_2,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,WEIGHTED_SEG_KM,LAST_FLIGHT_DATE,AVG_FLIGHT_COUNT,AVG_BP_SUM,BEGIN_TO_FIRST,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,ADD_POINTS_SUM_YR_1,ADD_POINTS_SUM_YR_2,EXCHANGE_COUNT,avg_discount,P1Y_Flight_Count,L1Y_Flight_Count,P1Y_BP_SUM,L1Y_BP_SUM,EP_SUM,ADD_Point_SUM,Eli_Add_Point_Sum,L1Y_ELi_Add_Points,Points_Sum,L1Y_Points_Sum,Ration_L1Y_Flight_Count,Ration_P1Y_Flight_Count,Ration_P1Y_BPS,Ration_L1Y_BPS,Point_NotFlight
6936,2012/10/10,2012/10/11,男,4,SNA GABRIEL,CZ,CA,67,2014/3/31,3,13956,0,0,2900,5900,36696,26543.44,2013/11/6,0.5,2326,1,147,195.5,349,0,1000,0,0.723333333,1,2,4652,9304,0,1000,1000,1000,14956,10304,0.666666667,0.333333333,0.33330945,0.666618901,1
41163,2011/3/11,2011/3/16,男,4,东莞,广东,CN,77,2014/3/31,3,13956,0,0,6000,2900,36696,26543.44,2013/11/27,0.375,1744.5,82,126,261.5,459,0,0,0,0.723333333,2,1,9304,4652,0,0,0,0,13956,4652,0.333333333,0.666666667,0.666618901,0.33330945,0
22677,2010/4/21,2010/8/15,男,5,中山,广东,CN,38,2014/3/31,29,24875,0,0,11253,14233,37153,26543.25,2014/3/8,3.625,3109.375,2,24,25.17857143,308,0,0,0,0.714430867,12,17,11236,13639,0,0,0,0,24875,13639,0.586206897,0.413793103,0.451680334,0.548279466,0
46887,2012/9/11,2012/10/9,男,4,北京,北京,CN,38,2014/3/31,13,24955,0,0,4820,16026,30584,26539.9,2014/3/2,1.857142857,3565,28,30,42.5,142,0,7445,1,0.86777073,2,11,4928,20027,0,7445,7445,7445,32400,27472,0.846153846,0.153846154,0.197467543,0.802492387,7
60505,2012/5/10,2012/5/14,男,4,上海,上海,CN,46,2014/3/31,21,22804,0,0,12517,3350,34446,26536.68,2014/3/27,2.625,2850.5,4,5,34.15,210,0,0,0,0.77038495,17,4,20353,2451,0,0,0,0,22804,2451,0.19047619,0.80952381,0.892479719,0.107476431,0
17695,2006/1/31,2006/1/31,男,4,长春,吉林,CN,54,2014/3/31,22,22973,0,0,9929,14023,33697,26535.75,2014/3/25,2.75,2871.625,74,7,30.95238095,160,0,0,0,0.787481081,9,13,10237,12736,0,0,0,0,22973,12736,0.590909091,0.409090909,0.445590668,0.554365805,0
59312,2012/4/29,2012/4/29,男,4,UJI-SHI,KYOTO-FU,JP,54,2014/3/31,12,29892,0,0,15510,16923,31716,26535.72,2014/1/6,1.5,3736.5,0,86,56.09090909,134,0,1992,0,0.836666667,6,6,14946,14946,0,1992,1992,1992,31884,16938,0.5,0.5,0.499983274,0.499983274,1
58453,2010/1/9,2010/1/9,男,5,广州市,广东,CN,31,2014/3/31,33,22287,0,1842,4050,22917,36961,26535.56,2014/2/29  0:00:00,4.125,2785.875,150,32,17.15625,142,0,1180,3,0.717934039,3,30,2857,19430,1842,1180,3022,3022,25309,22452,0.909090909,0.090909091,0.128185571,0.871769562,5
30314,2009/10/18,2009/10/18,男,4,KUALA LUMPUR,WILAYAH PERSEKKETUAAN,MY,42,2014/3/31,27,21270,0,0,14226,9524,32908,26532.08,2014/2/26,3.375,2658.75,0,35,26.76923077,126,0,0,0,0.806250152,16,11,13243,8027,0,0,0,0,21270,8027,0.407407407,0.592592593,0.62258474,0.377368248,0
12945,2009/7/8,2009/9/7,男,4,上海市,上海,CN,45,2014/3/31,18,24478,0,0,1050,4484,22607,26527.83,2013/12/14,2.25,3059.75,115,109,29.82352941,173,0,0,0,1.173434334,9,9,12247,12231,0,0,0,0,24478,12231,0.5,0.5,0.500306385,0.499652764,0
